net,length_um
clknet_0_Clk,306.09
_158_,130.56
_157_,124.28
_284_,115.32
_186_,114.98
_309_,112.52
_140_,111.58
_174_,109.98
_230_,109.58
_234_,109.31
_173_,108.58
_242_,107.72
Clk,107.67
_291_,104.63
clknet_4_2_0_Clk,99.62
clknet_4_13_0_Clk,99.2
_166_,98.755
_263_,97.86
_207_,97.74
_214_,97.08
_141_,95.87
_256_,95.77
_149_,94
_324_,93.6
_310_,92.78
clknet_4_4_0_Clk,92.54
_277_,90.74
_200_,90.32
clknet_4_0_0_Clk,88.635
_143_,88.39
_193_,87.44
_165_,87.18
_338_,86.34
_185_,85.8
_249_,85.74
_150_,85.23
_142_,84.68
_317_,82.835
_298_,82.68
_331_,81.53
_223_,81.2
_235_,80.36
clknet_4_6_0_Clk,79.58
net24,78.16
net15,77.42
clknet_4_3_0_Clk,76.02
clknet_4_10_0_Clk,72.68
clknet_4_1_0_Clk,70.84
clknet_4_11_0_Clk,69.24
clknet_4_9_0_Clk,67.76
net22,67.74
_229_,66.4
net36,65.59
clknet_4_12_0_Clk,65.295
memblk.rd_addr\[0\],64.34
clknet_4_14_0_Clk,64.3
net75,63.2
net25,61.86
net2,61.56
clknet_4_7_0_Clk,58.645
net27,57.78
clknet_4_15_0_Clk,57.5
net4,56.44
clknet_4_8_0_Clk,56.28
net61,54.08
_232_,53.6
clknet_4_5_0_Clk,52.84
net9,50.52
_228_,47.98
_225_,47.19
net8,46.86
net72,45.79
net58,45.64
net12,45.1
net35,42.815
net29,42.7
net38,42.38
net23,42.3
net60,42.28
net63,41.92
_352_,41.2
net21,40.84
net10,40.44
net18,40.32
net31,39.06
net69,38.28
net13,37.91
net14,37.54
net34,37.135
net17,36.38
net74,36.14
net71,35.75
net28,34.84
_349_,34.8
net32,34.5
net26,34.1
net5,33.5
_348_,33.04
net48,32.4
net68,31.96
net1,31.9
net30,31.77
net11,30.62
net73,30.33
net46,29.46
_359_,28.92
net37,28.5
_308_,28.08
Data_In[20],28.07
net54,27.82
_184_,27.74
net51,27.54
net16,27.2
net3,26.98
net40,26.98
memblk.rd_addr\[1\],26.16
net64,25.74
net20,25.72
net19,25.68
net7,25.24
fcounter\[1\],25.18
net67,25.18
memblk.FIFO\[3\]\[5\],25.12
net6,23.44
net70,22.99
_177_,22.98
net41,22.96
_377_,22.88
memblk.FIFO\[3\]\[1\],22.54
memblk.FIFO\[0\]\[19\],22.34
memblk.FIFO\[3\]\[19\],21.92
_233_,21.82
net65,21.78
_354_,21.7
Data_In[21],21.33
net59,21.14
Data_In[18],21.05
F_Data[10],20.86
memblk.FIFO\[3\]\[0\],20.63
_156_,20.36
net62,20.32
Data_In[22],19.83
Data_In[23],19.77
_260_,19.76
_360_,19.76
memblk.FIFO\[0\]\[26\],19.7
_097_,19.385
memblk.FIFO\[0\]\[28\],19.38
memblk.FIFO\[2\]\[18\],19.365
memblk.FIFO\[3\]\[25\],19.32
memblk.FIFO\[3\]\[23\],19.22
_162_,19.08
net44,19.02
net47,19.02
net45,18.72
_152_,18.56
_182_,18.14
_268_,18.14
Data_In[16],18.1
fcounter\[2\],17.98
Data_In[6],17.7
memblk.FIFO\[0\]\[0\],17.62
net184,17.62
memblk.wr_addr\[0\],17.585
_155_,17.44
memblk.FIFO\[2\]\[2\],17.42
memblk.FIFO\[0\]\[25\],17.36
memblk.FIFO\[2\]\[28\],17.27
memblk.FIFO\[1\]\[26\],17.26
memblk.FIFO\[2\]\[15\],17.09
memblk.FIFO\[0\]\[13\],17.06
_347_,16.98
_176_,16.88
memblk.FIFO\[3\]\[26\],16.86
_136_,16.8
Data_In[7],16.78
Data_In[30],16.72
memblk.FIFO\[2\]\[11\],16.565
memblk.FIFO\[1\]\[29\],16.56
net66,16.56
_236_,16.3
memblk.FIFO\[1\]\[3\],16.24
memblk.FIFO\[3\]\[16\],16.2
F_Data[11],16.14
memblk.FIFO\[2\]\[8\],16.11
memblk.FIFO\[3\]\[27\],16.09
memblk.FIFO\[0\]\[4\],15.98
_055_,15.965
F_Data[6],15.78
Data_In[19],15.75
memblk.FIFO\[2\]\[6\],15.735
F_Data[13],15.68
_335_,15.68
memblk.FIFO\[3\]\[12\],15.62
memblk.FIFO\[2\]\[22\],15.565
memblk.FIFO\[3\]\[21\],15.56
memblk.FIFO\[1\]\[20\],15.52
_159_,15.46
_087_,15.445
Data_In[13],15.42
memblk.FIFO\[2\]\[26\],15.365
_175_,15.34
_153_,15.28
memblk.FIFO\[1\]\[28\],15.1
_183_,14.92
_154_,14.88
_062_,14.76
net164,14.74
_160_,14.52
_163_,14.5
memblk.FIFO\[3\]\[30\],14.5
_344_,14.48
_302_,14.38
_171_,14.36
F_Data[7],14.3
memblk.FIFO\[0\]\[24\],14.3
memblk.wr_addr\[1\],14.24
memblk.FIFO\[3\]\[13\],14.21
memblk.FIFO\[3\]\[14\],14.18
memblk.FIFO\[3\]\[22\],14.16
memblk.FIFO\[2\]\[13\],14.135
_093_,14.045
_265_,14
F_Data[20],13.97
memblk.FIFO\[1\]\[6\],13.96
memblk.FIFO\[2\]\[30\],13.95
memblk.FIFO\[3\]\[3\],13.94
memblk.FIFO\[1\]\[13\],13.84
memblk.FIFO\[1\]\[27\],13.8
_074_,13.755
Data_In[11],13.74
_179_,13.66
memblk.FIFO\[1\]\[2\],13.62
memblk.FIFO\[2\]\[29\],13.57
net57,13.5
F_Data[8],13.38
net198,13.34
F_Data[26],13.3
_048_,13.285
_001_,13.245
memblk.FIFO\[0\]\[29\],13.12
memblk.FIFO\[1\]\[30\],13.12
net33,13.08
_231_,13.04
memblk.FIFO\[2\]\[24\],13.005
memblk.FIFO\[1\]\[14\],12.96
memblk.FIFO\[0\]\[22\],12.92
memblk.FIFO\[2\]\[9\],12.91
_145_,12.9
memblk.FIFO\[0\]\[11\],12.88
Data_In[10],12.82
memblk.FIFO\[1\]\[25\],12.8
_017_,12.785
_224_,12.7
_204_,12.66
_301_,12.66
F_Data[23],12.61
memblk.FIFO\[2\]\[19\],12.61
memblk.FIFO\[2\]\[20\],12.585
memblk.FIFO\[2\]\[3\],12.585
memblk.FIFO\[0\]\[5\],12.58
_051_,12.505
memblk.FIFO\[3\]\[8\],12.46
Data_In[8],12.36
F_Data[12],12.36
memblk.FIFO\[3\]\[18\],12.36
memblk.FIFO\[3\]\[17\],12.34
memblk.FIFO\[3\]\[6\],12.34
memblk.FIFO\[1\]\[8\],12.24
Data_In[0],12.23
_259_,12.16
_208_,12.14
memblk.FIFO\[1\]\[23\],12.12
memblk.FIFO\[3\]\[7\],12.1
_206_,12.08
memblk.FIFO\[0\]\[17\],12.08
_164_,12.06
memblk.FIFO\[1\]\[0\],12
memblk.FIFO\[3\]\[4\],12
_241_,11.98
memblk.FIFO\[0\]\[7\],11.96
F_Data[29],11.92
Data_In[14],11.9
memblk.FIFO\[2\]\[16\],11.885
memblk.FIFO\[3\]\[10\],11.88
memblk.FIFO\[2\]\[10\],11.87
F_LastN,11.8
memblk.FIFO\[2\]\[17\],11.765
F_Data[24],11.73
memblk.FIFO\[2\]\[23\],11.73
memblk.FIFO\[2\]\[7\],11.73
_273_,11.72
_257_,11.7
FClrN,11.68
FOutN,11.68
RstN,11.68
memblk.FIFO\[3\]\[11\],11.68
_170_,11.62
_306_,11.62
_151_,11.6
net53,11.58
F_Data[1],11.47
Data_In[12],11.44
Data_In[15],11.44
F_Data[14],11.44
F_Data[15],11.44
net166,11.44
_222_,11.32
_269_,11.32
memblk.FIFO\[2\]\[1\],11.31
_146_,11.26
_262_,11.26
F_Data[22],11.25
memblk.FIFO\[2\]\[21\],11.245
net187,11.24
_274_,11.14
net98,11.12
_293_,11.08
memblk.FIFO\[3\]\[15\],11.08
_375_,11.06
memblk.FIFO\[1\]\[16\],11.04
F_FirstN,11
memblk.FIFO\[3\]\[2\],10.98
_054_,10.925
_037_,10.875
memblk.FIFO\[3\]\[20\],10.86
memblk.FIFO\[2\]\[14\],10.85
_057_,10.84
_340_,10.8
Data_In[25],10.76
Data_In[26],10.76
Data_In[27],10.76
Data_In[29],10.76
FInN,10.76
memblk.FIFO\[3\]\[9\],10.76
_280_,10.74
_337_,10.72
_167_,10.68
memblk.FIFO\[0\]\[16\],10.62
_091_,10.605
_061_,10.585
memblk.FIFO\[0\]\[10\],10.58
memblk.FIFO\[0\]\[18\],10.58
memblk.FIFO\[1\]\[4\],10.58
_195_,10.5
memblk.FIFO\[2\]\[0\],10.465
F_Data[25],10.42
F_Data[27],10.42
F_Data[31],10.42
F_EmptyN,10.42
_325_,10.4
memblk.FIFO\[1\]\[9\],10.4
_245_,10.36
_168_,10.34
_172_,10.34
_169_,10.32
_212_,10.32
_278_,10.32
_196_,10.28
memblk.FIFO\[3\]\[28\],10.28
memblk.FIFO\[1\]\[21\],10.24
_316_,10.2
memblk.FIFO\[0\]\[2\],10.2
net108,10.14
_329_,10.1
memblk.FIFO\[0\]\[14\],10.04
memblk.FIFO\[1\]\[15\],10.04
F_SLastN,9.96
_040_,9.94
memblk.FIFO\[0\]\[6\],9.94
F_Data[28],9.89
_026_,9.825
memblk.FIFO\[2\]\[31\],9.825
_130_,9.82
_239_,9.82
memblk.FIFO\[0\]\[12\],9.82
net42,9.82
memblk.FIFO\[0\]\[31\],9.7
memblk.FIFO\[2\]\[5\],9.63
F_FullN,9.62
net191,9.52
_261_,9.42
memblk.FIFO\[2\]\[27\],9.405
_376_,9.4
memblk.FIFO\[2\]\[25\],9.39
_270_,9.36
Data_In[17],9.29
memblk.FIFO\[1\]\[12\],9.24
memblk.FIFO\[1\]\[17\],9.24
_072_,9.145
memblk.FIFO\[2\]\[4\],9.125
_371_,9.06
_132_,9.02
_303_,9.02
_350_,9
_271_,8.98
_355_,8.96
_285_,8.9
memblk.FIFO\[0\]\[27\],8.78
net194,8.76
memblk.FIFO\[3\]\[29\],8.73
_043_,8.725
_137_,8.72
memblk.FIFO\[3\]\[31\],8.7
_374_,8.68
_191_,8.6
_202_,8.6
_248_,8.56
_363_,8.56
_027_,8.525
_307_,8.52
memblk.FIFO\[2\]\[12\],8.485
net197,8.48
_002_,8.405
_290_,8.4
_336_,8.4
net130,8.4
memblk.FIFO\[1\]\[18\],8.32
net169,8.3
net200,8.3
memblk.FIFO\[0\]\[21\],8.28
_109_,8.225
_115_,8.225
_064_,8.155
net49,8.14
memblk.FIFO\[1\]\[11\],8.1
memblk.FIFO\[1\]\[5\],8.1
_034_,8.065
_070_,8.065
_252_,8.06
_050_,8.025
net99,8.02
_266_,7.98
_283_,7.98
_219_,7.94
memblk.FIFO\[1\]\[10\],7.9
memblk.FIFO\[1\]\[1\],7.86
_065_,7.845
net167,7.82
Data_In[4],7.81
_111_,7.765
memblk.FIFO\[1\]\[19\],7.74
net120,7.72
_039_,7.695
memblk.FIFO\[0\]\[23\],7.68
memblk.FIFO\[1\]\[24\],7.68
_287_,7.64
memblk.FIFO\[1\]\[7\],7.64
Data_In[24],7.61
_289_,7.6
_304_,7.6
_288_,7.56
_305_,7.56
net133,7.56
_047_,7.525
_221_,7.52
_238_,7.52
memblk.FIFO\[0\]\[20\],7.52
net85,7.52
Data_In[5],7.47
net129,7.46
_322_,7.4
net132,7.4
net146,7.38
net147,7.38
F_Data[16],7.37
F_Data[17],7.37
F_Data[19],7.37
_365_,7.32
_059_,7.305
_112_,7.305
net121,7.3
memblk.FIFO\[0\]\[15\],7.22
net168,7.22
_282_,7.18
_019_,7.145
net107,7.14
Data_In[9],7.13
net100,7.12
_015_,7.105
_086_,7.105
net152,7.1
_339_,7.06
_387_,7.06
_226_,7.04
F_Data[30],7.03
_052_,7.015
_028_,7
net179,7
_192_,6.98
_297_,6.98
_327_,6.98
memblk.FIFO\[0\]\[8\],6.98
memblk.FIFO\[0\]\[9\],6.98
net199,6.98
net135,6.96
net118,6.92
_209_,6.76
_321_,6.76
memblk.FIFO\[3\]\[24\],6.74
_358_,6.72
memblk.FIFO\[1\]\[22\],6.72
F_Data[18],6.69
F_Data[21],6.69
_178_,6.64
_205_,6.64
_213_,6.64
_217_,6.64
_300_,6.64
fcounter\[0\],6.64
net138,6.62
_281_,6.6
_294_,6.6
_318_,6.6
_343_,6.6
Data_In[28],6.57
F_Data[2],6.57
F_Data[4],6.57
net196,6.54
_042_,6.525
memblk.FIFO\[0\]\[1\],6.52
net105,6.5
net173,6.5
_383_,6.48
_367_,6.44
_053_,6.425
_082_,6.425
_385_,6.38
_244_,6.3
_333_,6.3
net156,6.3
net186,6.3
net203,6.3
_286_,6.26
net92,6.26
